company_name,profile_url,company_website_url,location,tags,founding_date,founders,employee_range,urls,emails,phones,description_short,description
SunTecIndia,https://e27.co/startups/suntecindia/,http://www.suntecindia.net/,India,"Big Data, E-commerce, Enterprise Solution, Information & Communications Technology",1999-01-01,,,"http://www.linkedin.com/groups/SuntecIndia-2548551/about, https://twitter.com/SuntecIndia, https://www.facebook.com/SuntecIndia/infowww.facebook.com/SuntecIndia/info",info@suntecindia.com,,"SunTec is an Indian company located in New Delhi, the capital of India. Since its inception in 1999, SunTec has served over 450 clients across the globe including some Fortune 500 companies. ","SunTec is an Indian company located in New Delhi, the capital of India. Since its inception in 1999, SunTec has served over 450 clients across the globe including some Fortune 500 companies. They provide a full range of IT/BPO services that can save you time and money. 

They offer a mixed pool of services. Their talented employees have made them a name to reckon with in the field of Application Development, Data Entry and related Data Processing jobs, Document Conversion and Digitization, HTML//XML, PDF Conversion, E-Pub, Pre-press, Legal Process Outsourcing, Web Research/Data Mining, Accounting/Financial Services, Multimedia, Graphics and e-Learning solutions. 

SunTec has always been committed to providing seamless, consistent services of the highest standard in a most cost-effective manner. They use the latest of technology to enhance their efficiency and deliver customized solutions in the field of Internet related services that reflect the image of your organization."
F2Time,https://e27.co/startups/f2time/,http://www.f2time.com/,China,"Advertising, Media, Mobile",,,,,startups@e27.co,,"Through continuous innovation program of ad-buying technology, enabling customers to advertising on many high-quality, cost control, with the scale advantages of the media.","Through continuous innovation program of ad-buying technology, enabling customers to advertising on many high-quality, cost control, with the scale advantages of the media.

Provide customers with more quality mobile and video advertising solutions to meet the mobile and video advertising in differentiation and higher specifications."
TellSigns,https://e27.co/startups/tellsigns/,http://site312013-7084-9004.strikingly.com/,Hong Kong,Healthtech,,,,https://twitter.com/tellsigns,startups@e27.co,,"TellSIGNS allows patients to better articulate their symptoms via just a few simple taps, translating them into a report both doctors and patients can understand.","TellSIGNS allows patients to better articulate their symptoms via just a few simple taps, translating them into a report both doctors and patients can understand."
Pagevamp,https://e27.co/startups/pagevamp/,http://www.pagevamp.com,United States of America,"Enterprise Solution, Software as a Service, Information & Communications Technology",,,,"https://www.linkedin.com/company/3003796?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A3003796%2Cidx%3A1-1-1%2CtarId%3A1448249902821%2Ctas%3Apagevamp, https://twitter.com/pagevamp, http://www.facebook.com/pagevamp",support@pagevamp.com,,Pagevamp is the easiest and fastest way to publish a website. Pagevamp allows users to create and update their website from their Facebook Page in one click. Rather than forcing users to learn a whole,"Pagevamp is the first one-click website builder for small businesses, clubs and organizations that is truly “one-click”. Using a business or organization’s Facebook page data, Pagevamp instantly builds a new, sleek website with all of the content already published. The new site is synced with Facebook so updating it is as simple as editing the Facebook page itself. Businesses can switch their site design at the click of a button to best match their needs."
Veamcast,https://e27.co/startups/veamcast/,http://veamcast.com/,Philippines,"Consumer, Entertainment, Media",2003-04-01,,,"https://www.linkedin.com/company/veamcast, https://twitter.com/Veamcast, https://www.facebook.com/veamcast",contact@veamcast.com,,"Veamcast is personal broadcasting. Veamcast is social television.Veamcast is video email and more! Veamcast is a new method of communication and entertainment for PCs, tablets, TVs and phones.","Veamcast is personal broadcasting. Veamcast is social television.Veamcast is video email and more! Veamcast is a new method of communication and entertainment for PCs, tablets, TVs and phones. When using Veamcast to communicate, the experience is much like email except it’s primarily designed to be used with video and voice instead of text. With the press of a few buttons (using touch screen, mouse, remote control or gestures), Veamcast users can record, edit and transmit video and voice. Online players are generated and notifications are sent to recipients via email or posted on social networks. But Veamcast can do much more. Any type of media can be attached or linked. If the recipient is a Veamcast user, downloads happen in the background and the content can be queued and played at full quality without streaming. It allows power users to create television-like channels which others can subscribe to."
Amobee,https://e27.co/startups/amobee/,http://amobee.com/,Australia,Advertising,,,,"https://www.linkedin.com/company-beta/167080/?pathWildcard=167080, https://twitter.com/amobee, https://www.facebook.com/Amobee",startups@e27.co,,Amobee is a global digital marketing technology company that provides data-driven solutions for agencies and brands.,"Amobee is a global digital marketing technology company that provides data-driven solutions for agencies and brands. By leveraging our proprietary Brand Intelligence technology and cross channel digital platform, Amobee’s clients gain a deeper understanding of their target audience by analyzing real-time and historical content consumption trends and sentiment from across the digital ecosystem. The insights generated from Amobee Brand Intelligence inform our clients’ media strategies and activation across all channels and devices to generate unparalleled ROI on a global scale.

Amobee is a division of Singtel’s Digital L!fe Group, which is focused on creating new digital growth engines to delight customers and disrupt adjacent industries. Amobee operates across North America, South America, Europe, the Middle East, Asia and Australia."
Himalafy,https://e27.co/startups/himalafy/,http://www.himalafy.com,China,,,Per Cromwell,,,info@himalafy.com,,"Creating the future of retail. Beta-testing the world's first mobile, autonomous supermarket, powered by AI.",
EzySpark,https://e27.co/startups/ezyspark/,http://esyspark.com/,Malaysia,Agency & Consulting,,Francesco Argento,,,startups@e27.sg,,EzySpark is an online corporate training matching platform which will match corporations to trainers.,"EzySpark is an online corporate training matching platform which will match corporations to trainers.

Think of us as a self-thinking learning platform for corporate training. If you have a specific programme in mind, we will identify the trainer most suited to conduct it. We can also analyse your corporate needs and design training programme to target your requirements. In short just leave it to us!"
Kalibrr,https://e27.co/startups/kalibrr/,http://www.kalibrr.com,Philippines,"Human Resources, Software as a Service, Information & Communications Technology",,,,"https://www.linkedin.com/company/kalibrr-technology-ventures, https://twitter.com/kalibrr, https://www.facebook.com/kalibrr",privera@gmail.com,,Kalibrr connects talent and opportunity at scale in emerging markets.,"Kalibrr connects talent and opportunity at scale in emerging markets through their skills based recruitment and job matching platform.

Kalibrr is a recruiting platform that uses assessments to drive faster hiring decisions.

Kalibrr is backed by Y Combinator, Learn Capital, Kickstart Ventures, Siemer Ventures Funder's Club and the Omidyar Network. It was founded in 2012 by Paul Rivera, Dexter Ligot-Gordon, and Danny Castongua"
MyTeam11 Fantasy Sports,https://e27.co/startups/myteam11/,https://www.myteam11.com,India,"Advertising, Gaming, Software as a Service, Sports",2015-02-01,,,"https://www.linkedin.com/in/myteam11, https://twitter.com/MyTeam_11, https://www.facebook.com/myteamXI/",info@myteam11.com,,Play Fantasy cricket and football leagues online and win exciting cash Prizes with India’s leading fantasy game platform- MyTeam11. Create & Join top fantasy Leagues among Friends & Family,"Play Fantasy Cricket with Myteam11 Fantasy Cricket Website.

What is myteam11?
Myteam11 is a bunch of passionate sports’ lovers, gully cricket enthusiasts, who always wanted to be like our beloved stars. We are the ones who are expert commentators of the game and always cussing when a batsman gets out playing a rash shot, when a bowler ends up bowling a full toss instead of Yorker, when a fielder misfields, when a team selection is not up to par. Myteam11 is a smartest fantasy cricket website where user can play fantasy cricket online.

How to Play Fantasy Cricket?
MyTeam11.com, where fantasy helps win in real life! You have the skill and feel like you are the experts of the game, then buckle up, pick your best XI, apply all the knowledge and analysis you can, and start playing with a limited virtual budget. Myteam11 is a smartest site where user’s can join leagues, play fantasy and win cash prizes. Fantasy cricket is a type of cricket where user’s play virtual game for real players. it is a great test of your knowledge and skill, and how good you are at analyzing and picking best players. So it is time to get to know those young Turks, follow their cricketing stamina, and choose wisely.

Where you play fantasy cricket?
Myteam11 is Fantasy cricket website where Fantasy cricket beaus play online and win enormous money prizes. In this site user make a virtual team and join free and paid leagues. Myteam11 likewise give live cricket score and match expectation. Those are help to client count their points according to score and expand the likelihood to win. In the one line it give all information in one stage. Most intelligent stage for play fantasy cricket is myteam11. For fantasy cricket players it is the no. one fantasy cricket website.

If you have any query about our content then you can email us on: info@myteam11.com

Call us on : 91-1414579900"
Plant Life Systems Inc.,https://e27.co/startups/plant-life-systems-inc/,http://www.plantlife.jp/,Japan,Agritech,,,,,startups@e27.co,,Plant Life Systems Inc. engages on innovating agriculture by introducing ICT system.,"Plant Life Systems Inc. engages on innovating agriculture by introducing ICT system.

Japan's agriculture, veteran farmers has been supported by experience and intuition. 

However, agricultural population is reduced to 50 years ago 1/6, now that the average age exceeds the 66-year-old, inherited the know-how to make the vegetables has become a major challenge. Therefore, in the Plant Life Systems (PLS), biological sensors with their own development, always watch over the health of vegetables, practical cultivation support system to control and predict the development. Without wishing to be bound by the presence or absence of agriculture experience, it allows you to crop development that was taking advantage of the know-how of veteran farmers. Further, since it is possible to collect several biometric data in one optical sensor and encourages significant cost reduction as compared to conventional systems that require multiple sensors. By utilizing the state-of-the-art ICT to cherish the ""vegetable feelings"". PLS will continue to create a smart agriculture with an eye to the future."
Tetrus LED,https://e27.co/startups/tetrus-led/,https://www.tetrus.com/outdoor-parking-lot-led-pole-lights/,United States of America,Energy,,,,"https://www.linkedin.com/company/tetrusofficial, https://www.facebook.com/TetrusOfficial/",Info@tetrus.com,,"Tetrus is known for top-to-bottom LED lighting provider. We have been serving the customers in Milford, Delaware as American Sign & Lighting from more than 30 years ago.","Tetrus is known for top-to-bottom LED parking lot lights provider. We have been serving the customers in Milford, Delaware as American Sign & Lighting from more than 30 years ago. We have specifically focused on commercial outdoor and industrial lighting. We strive to provide best fixtures which are serviceable, standardized, and modular so that you enjoy a lifetime of energy savings and low maintenance costs. We offer the best customer experience in the LED industry. We provide you with an engineering concept that solves your lighting problems. "
ibilik.my,https://e27.co/startups/ibilik-my/,http://www.ibilik.my/,Malaysia,"Advertising, Real Estate, Travel, Information & Communications Technology",,,,https://www.facebook.com/pages/Ibilik/493638847350103,support@ibilik.com,,"iRent Is all about Renting, they provide a service For Renting advertising.","Welcome to Malaysia's largest and No.1 Room / Homestay / Short Term Rental website, with over 100,000 listings posted online all across Malaysia, Kuala Lumpur, Ampang, Bangsar, Cheras, Setapak, Damansara, Petaling Jaya, Subang Jaya, and Penang.

iRent Is all about Renting, they provide a service For Renting advertising."
LegalComet,https://e27.co/startups/legalcomet/,https://www.legalcomet.com/,United States of America,,,,,,startups@e27.sg,,"LegalComet provides complementary forensic technology services which includes data acquisition and preservation, recovery of deleted data and passwords, cyber breach investigation, as well as mobile a","LegalComet provides complementary forensic technology services which includes data acquisition and preservation, recovery of deleted data and passwords, cyber breach investigation, as well as mobile and cloud forensics. 

LegalComet was founded by Mr Lew who has over 17 years’ experience in technology risk management, forensic technology and e-discovery consultancy with top legal and advisory firms, including his previous role as the head of discovery for a Big Four advisory firm before striking out on his own. He is also a qualified digital forensics investigator who had provided expert testimonies in several high-profile cases and is the immediate past president of the High Technology Crime Investigation Association, HTCIA (Singapore Chapter)."
RIDE,https://e27.co/startups/ride/,http://ridejkt.com/,Indonesia,,,,,"https://www.linkedin.com/company-beta/13263537/, https://twitter.com/RideJakarta, https://www.facebook.com/ridejakarta",info@ridejkt.com,,RIDE Jakarta is Indonesia’s first indoor cycling studio. Bringing the fun into a 45-minute cardio focused workout that never feels like a workout. An ultimate dance party under the disco ball!,"Ride Jakarta is the first boutique indoor cycling studio in Jakarta. The studio opened its doors in April 2015 and since then it has become a fitness destination to those who want an effective and high-calorie burning, high intensity interval training within a club-like atmosphere. The studio aims to provide a challenging and empowering 45-minute full body workout that tones the body and improves cardiovascular endurance."
IOT Research Labs,https://e27.co/startups/iot-research-labs/,http://www.iotrl.io,India,,,,,,,,"Fleet Management Solutions Company to increase organisations operational efficiency.
visit www.iotrl.io","We have a product called FleetConnect, where we use IoT & analytics to simplify fleet management. Our solution help companies with a fleet of vehicles increase operational efficiency, safety, curb pilferage and ultimately drive profitability upto 20% by taking data driven decisions. We have over 100 B2B customers across India including Fortune 500 companies and growing at a rapid pace.

Some of the core features of our platform are:
1. Real time accurate GPS, fuel, load, temperature, door, camera tracking & monitoring of vehicles
2. Real-time Information on driver behaviour, location, speed, fuel, vehicle status, geo-fencing etc
3. Route Analytics, Maintenance module, Insightful MIS reports
4. Instant Alerts in case of anomalies.
5. API’s for blockchain & ERP integration and much more."
Freshup Hyderabad,https://e27.co/startups/freshup-hyderabad/,https://freshup.space,India,,,,,"https://www.linkedin.com/company/freshup-poshtel, https://twitter.com/FreshupStay, https://www.facebook.com/freshupstay",info@freshup.space,,"Freshup Centers are Network Chain of Micro Stay Facilities ergonomically designed to give extreme comfort, convenience to its users, Technologically outfitted to offer Accommodation Facilities PAY AS","Freshup Centers are Network Chain of Micro Stay Facilities ergonomically designed to give extreme comfort, convenience to its users, Technologically outfitted to offer Accommodation Facilities PAY AS YOU USE and Flexible Check In And Check Out Options to Single Day Travelers across PAN India."
Weirdsgn,https://e27.co/startups/weirdsgn/,http://weirdsgn.com/,Indonesia,,,,,"https://www.linkedin.com/company/weirdsgn, https://twitter.com/weirdsgn, https://www.facebook.com/weirdsgn",startups@e27.co,,"Weirdsgn is a design studio based in Maguwo, Special Distric of Yogyakarta, Indonesia. They are professional designers focusing at icon design and visual interface design.","Weirdsgn is a design studio based in Maguwo, Special Distric of Yogyakarta, Indonesia. They are professional designers focusing at icon design and visual interface design."
Datalicious ,https://e27.co/startups/datalicious/,http://www.datalicious.com/,Australia,"Advertising, Agency & Consulting, Big Data, Agency & Agency & Consulting",,,,"https://www.linkedin.com/company/datalicious-pty-ltd, https://twitter.com/datalicious, https://www.facebook.com/Datalicious/",startups@e27.co ,,"Datalicious is a full service, worldwide, data agency providing client focused solutions designed to scale with your organization.","Datalicious is a full service, worldwide, data agency providing client focused solutions designed to scale with your organization. Datalicious and Econsultancy answer the key questions on attribution — who’s doing attribution, what vendors are being used and what’s the most effective form of media attribution modelling.

Datalicious is a fast growing full-service data analytics agency, providing client focused solutions designed to scale with any organisation. From its humble beginnings as a specialist consulting agency in Australia, Datalicious has expanded into an innovative software development company. They now help brands around the world achieve smart driven marketing by thinking outside the box, redefining industry best practice and developing innovative technology platforms. Datalicious products include SuperTag, DataCollector, DataExchange and the OptimaHub advanced marketing analytics platform.

Datalicious is part of the Veda Group.

At Datalicious they are all about smart data driven marketing and turning data into actionable insights. Founded with the aim of creating a 360 data agency, Datalicious offers a wide range of data services from data warehousing, web analytics and media attribution over data mining, modeling and reporting to the planning and development of smart data driven campaigns and entire websites. They also participate in various industry forums such as the Omniture Customer Advisory Board in the United States and the ADMA Data & Analytics Council in Australia to help shape industry best practice."
SpareParts3D,https://e27.co/startups/spareparts3d/,http://spare-parts-3d.com,Singapore,"Hardware, Enterprise Solution, Manufacturing",2015-06-01,,,"https://www.linkedin.com/company/spare-parts-3d, https://twitter.com/SpareParts3D",contact@sp3d.co,,SP3D helps manufacturers to increase their spare parts availability thanks to 3D printing.,"Spare Parts 3D is a start-up providing manufacturers, especially in the home appliance sector, with services that enable on-demand and distributed production of spare parts using 3D Printing.

We support the digitalization of inventories and enables on-demand & distributed production using 3D printing. 

We leverage on our worldwide providers network to ensure manufacturing locally and quick delivery.

Our solutions allows manufacturers to increase their customers' satisfaction by increasing the spare parts availability thanks to 3D printing while keeping perfect control of cost and quality over the production."
MyVote.Today,https://e27.co/startups/myvote-today/,http://myvote.today/,India,Mobile,,,,https://twitter.com/myvote_today,startups@e27.co,,"MyVoteToday*​​​​ is a mobile app based pollster promoted by Apption Digital, Inc. (a US based digital technology company).","MyVoteToday*​​​​ is a mobile app based pollster promoted by Apption Digital, Inc. (a US based digital technology company). It aims to improve the standards of democracies throughout the world by enabling citizens to opine on various issues anonymously. Currently addressing the Indian democracy, MyVote.Today also expects to launch in the US soon, and grow to other major democracies over time.

Despite being the world's largest democracy, India unfortunately remains a low 70th in the quality of democracy ranking. The MyVote.Today Mobile App will allow citizens to vote on important issues faced in their locality, city, state or the country. In India the ‘democratic processes’ usually ends post elections; MVT aims to keep the concept of ‘democracy’ alive by seeking public opinion on all crucial issues."
translation.pk,https://e27.co/startups/translation-pk/,http://www.translation.pk/,Pakistan,"Consumer, Education, Social Enterprise",,,,,translationpk@gmail.com,,"Translation.pk is a translation agency specializing in different kind of translation services including document translation services, legal, medical, technical, financial and other localization.","They provide free quote for any translation project including document translation, website translation or software localization project. Since 2005, Translation.pk translation services in Pakistan specialized in different kind of translation services including document translation services, legal, medical, technical, financial and many other kind of localization. Other than document translation, they also provide website translation and software translation & localization. Translation.pk translation agency is located in Islamabad, Pakistan. So, they, Islamabad Translation Service can provide better services to their clients regarding embassy visa as well. They have expert language translators for almost all languages.

Their qualified team consists of inhouse and freelance linguists, interpreters, translators, proofreaders, quality assurance managers, designers and web programmers, all with solid professional qualification and background in language translation and interpreting.

They are number one in providing professional translation services for all cities of Pakistan including Islamabad, Karachi, Lahore, Rawalpindi, Faisalabad, Multan, Peshawer, Sialkot, Gujrat, Hyderabad, Bahawalpur, Quetta, Abbotabad and everywhere in Pakistan. You just send them scanned copy of your documents and they will send you translation via courier. They have long list of International clients from famous cities of world such as London, New York, Sydney, Toronto etc.

They have best professionals for all international languages including Arabic, Check Republic, Chinese, Dutch, English, French, German, Greek, Hindi, Italian, Japanese, Korean, Latin, Polish, Portuguese, Russian, Spanish etc. Urdu, Balochi, Pashto, Punjabi, Sindhi are native languages spoken locally in Pakistan."
IDAFF,https://e27.co/startups/idaff/,http://www.idaff.com,Indonesia,"E-commerce, Advertising, Agency & Consulting",2016-03-01,Sunil Tolani,,,sunil@idaff.com,,Idaff.com is a platform that helps you sell digital products through affiliate marketing.,
Saigon Technology Solutions,https://e27.co/startups/saigon-technology-solutions/,https://saigontechnology.com,Vietnam,"Enterprise Solution, Mobile, Software as a Service, Agency & Consulting, Information & Communications Technology",2012-09-01,Thanh (Bruce) Pham,,"https://www.linkedin.com/company/vietnam-software-company, https://twitter.com/saigontech, https://www.facebook.com/saigontechnology",sales@saigontechnology.vn,,"Saigon Technology Solutions is the leading Vietnam-based software development outsourcing company, established in 2010, located in Ho Chi Minh City. 
We focus on web and mobile app development.","Saigon Technology Solutions is the leading Vietnam-based software development outsourcing company, established in 2010 and located in the center of Ho Chi Minh City. 
Our mission is to deliver the best and most cost-effective software solutions to our customers in areas such as e-finance, e-business, healthcare, and media. 

Saigon Technology Solutions has the teams of world-class experts in ASP.NET, AngularJS, NodeJS, React JS, iOS and Android/React Native application development services.

Saigon Technology Solutions is specialized in providing professional Offshore Software Development & Software Development Outsourcing Services based on the offshore software development center and fixed price/project based engagement models.

We help companies by establishing the development processes and selecting which tools and infrastructure to adapt to each individual customer’s specific needs.

We are experts in Agile IT and we have a large portfolio of successful international projects, ranging from small businesses solutions to highly complex multi-platform systems for large corporate clients.

We are a well-established software company in Vietnam with 40 in-house web and mobile application development software engineers. We provide quality and professional application development, web development, mobile application development and offshore software outsourcing services to customers located around the globe.

Our customer base extends to Australia, Singapore, USA and France, besides Vietnam and includes highly renowned members of their respective industries, such as Standard Chartered Bank, Abbott, Panasonic, RMS Group, Stone Forest, Kaercher to name a few.

Our software development outsourcing services:

Software development outsourcing
Offshore development center
Custom software development
Bespoke software development
Mobile application development
Web design and development
Web application development

Slogan: your success is our mission."
Alma Mater   ,https://e27.co/startups/alma-mater/,http://www.almamaterstore.in/,India,"Design , E-commerce, Retail, Information & Communications Technology",,,,"https://www.linkedin.com/company/alma-mater-store, https://twitter.com/almamaterstore, https://www.facebook.com/almamaterstore",startups@e27.co ,,"Alma Mater is India's Largest Merchandise Brand for Schools, Colleges and Corporates","Alma Mater is India's Largest Merchandise Brand for Schools, Colleges and Corporates.

Alma Mater is an online brand for customized merchandise and alumni memorabilia for schools, colleges and companies. The core products which Alma Mater specializes in are t-shirts, sweatshirts, pullovers, bulk custom printed t-shirts, hoodies and personalized gifts

Almamater has been providing unique custom t shirt printing for online customers for over 5 years now. Almamater customized t shirts is made to order for you. Almamater is an online customized t shirts website which allows the online users to create their own unique personalized t shirt design. You can customize your t shirt by customizing the text, design or even customize t shirt with your own photos. Almamater gives you the platform on which you can create and also adjust the design on the round neck tee, hoodies or collar tees. 

Their custom design user inter face is very user friendly. At Almamater the navigation flow of designing your own t shirt is loaded with many features compared to any other personalized t shirts websites. With the help of our Almamater customized t shirt play design tool you can design merchandises for your school, college, celebrations or for any event. They have a wide range of available colors and sizes to choose for your customize t shirts."
Heptopic,https://e27.co/startups/heptopic-1/,https://www.heptopic.com/,United States of America,,,,,,,,"<a href=""https://www.heptopic.com/veenat""> veenat </a>
<a href=""https://www.heptopic.com/geftinat""> geftinat </a>
<a href=""https://www.heptopic.com/abirapro""> abirapro </a>",You can buy Generic Medicine Online 100% Lowest price
Rumahpedia,https://e27.co/startups/rumahpedia/,https://rumahpedia.info/,Indonesia,,2017-06-01,,,https://www.facebook.com/rumahpedia.info/,bagasprasetyo2106199@gmail.com,,Rumahpedia.info is a start up media company engaged in property and agriculture based in Jakarta. We have a mission to become the number 1 digital media company in Southeast Asia.,"Rumahpedia.info is a start up media company engaged in property and agriculture based in Jakarta. We have a mission to become the number 1 digital media company in Southeast Asia.

Rumahpedia presents information in the form of articles, images and videos that can add to one's preference for building their dream home."
Yintran Group,https://e27.co/startups/yintran-group/,https://yintran.com/,Hong Kong,Finance,,,,,startups@e27.co,,A trustworthy money transfer network that allows any one or any company to transfer money via internet safely with privacy and security.,A trustworthy money transfer network that allows any one or any company to transfer money via internet safely with privacy and security.
Gsmbeat.com,https://e27.co/startups/gsmbeat-com/,https://www.gsmbeat.com/,India,,,,,,vpansare291m@gmail.com,,"You can Find Tech News, Free Recharge Tips, Shopping Loot Offer, Amazon Offer ",
